project_name,location_address,estimated_value,contractor_or_bidder,submission_deadline_or_permit_date,source_url,source_host,first_seen_at,last_seen_at,raw_extracted_summary
Permit B26-00019 – PWD Work,"1513 Yuma Dr, Frisco, TX",,DALLAS PWD INC,2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.522000+00:00,2026-05-19T02:19:13.522000+00:00,"Building permit B26-00019 was issued for work at 1513 Yuma Dr, Frisco, TX. The contractor on record is Dallas PWD Inc. Record ID is OAS:2601030711233330."
Permit B26-00020 – PWD Work,"8016 Southmark Dr, Frisco, TX",,DALLAS PWD INC,2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.522000+00:00,2026-05-19T02:19:13.522000+00:00,"Building permit B26-00020 was issued for work at 8016 Southmark Dr, Frisco, TX. The contractor on record is Dallas PWD Inc. Record ID is OAS:2601030713093483."
Permit B26-00017 – PWD Work,"15586 Durango Dr, Frisco, TX",,DALLAS PWD INC,2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.521000+00:00,2026-05-19T02:19:13.521000+00:00,"Building permit B26-00017 was issued for work at 15586 Durango Dr, Frisco, TX. The contractor on record is Dallas PWD Inc. Record ID is OAS:2601030706223023."
Permit B26-00018 – PWD Work,"2451 St Laurent Pl, Frisco, TX",,DALLAS PWD INC,2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.521000+00:00,2026-05-19T02:19:13.521000+00:00,"Building permit B26-00018 was issued for work at 2451 St Laurent Pl, Frisco, TX. The contractor on record is Dallas PWD Inc. Record ID is OAS:2601030708443177."
Permit B26-00014 – PWD Work,"13107 Bugatti Dr, Frisco, TX",,DALLAS PWD INC,2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.520000+00:00,2026-05-19T02:19:13.520000+00:00,"Building permit B26-00014 was issued for work at 13107 Bugatti Dr, Frisco, TX. The contractor on record is Dallas PWD Inc. Record ID is OAS:2601030654582561."
Permit B26-00015 – PWD Work,"11105 New Orleans Dr, Frisco, TX",,DALLAS PWD INC,2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.520000+00:00,2026-05-19T02:19:13.520000+00:00,"Building permit B26-00015 was issued for work at 11105 New Orleans Dr, Frisco, TX. The contractor on record is Dallas PWD Inc. Record ID is OAS:2601030658192715."
Permit B26-00016 – PWD Work,"5918 Arlington Dr, Frisco, TX",,DALLAS PWD INC,2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.520000+00:00,2026-05-19T02:19:13.520000+00:00,"Building permit B26-00016 was issued for work at 5918 Arlington Dr, Frisco, TX. The contractor on record is Dallas PWD Inc. Record ID is OAS:2601030701072869."
Permit B26-00012 – Building Work,"9145 John W Elliott Dr, Frisco, TX",,Rodrigo Martinez,2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.519000+00:00,2026-05-19T02:19:13.519000+00:00,"Building permit B26-00012 was issued for building work at 9145 John W Elliott Dr, Frisco, TX. The applicant/contractor on record is Rodrigo Martinez. Record ID is OAS:2601021014352197."
Permit B26-00013 – Foundation Repair,"6019 Eagle Point Ln, Frisco, TX",,PERMA PIER FOUNDATION REPAIR OF TEXAS,2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.519000+00:00,2026-05-19T02:19:13.519000+00:00,"Building permit B26-00013 was issued for foundation repair at 6019 Eagle Point Ln, Frisco, TX. The contractor on record is Perma Pier Foundation Repair of Texas. Record ID is OAS:2601031208162407."
Permit B26-00010 – Home Improvement,"13377 Citrus Ln, Frisco, TX",,"Certipro Home Improvement, LLC",2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.518000+00:00,2026-05-19T02:19:13.518000+00:00,"Building permit B26-00010 was issued for home improvement work at 13377 Citrus Ln, Frisco, TX. The contractor on record is Certipro Home Improvement, LLC. Record ID is OAS:2601020919362006."
Permit B26-00011 – Plumbing Work,"12239 Nandina Ln, Frisco, TX",,IIM Plumbing,2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.518000+00:00,2026-05-19T02:19:13.518000+00:00,"Building permit B26-00011 was issued for plumbing work at 12239 Nandina Ln, Frisco, TX. The contractor on record is IIM Plumbing. Record ID is OAS:2601021001332109."
Permit B26-00008 – General Contractor Work,"9459 Landmark Pl, Frisco, TX",,INSTALL PARTNERS (GC),2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.517000+00:00,2026-05-19T02:19:13.517000+00:00,"Building permit B26-00008 was issued for general contractor work at 9459 Landmark Pl, Frisco, TX. The contractor on record is Install Partners (GC). Record ID is OAS:2601020310020643."
Permit B26-00009 – Window Replacement,"6215 Wilmington Dr, Frisco, TX",,WINDOW NATION,2026-01-03,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.517000+00:00,2026-05-19T02:19:13.517000+00:00,"Building permit B26-00009 was issued for window replacement at 6215 Wilmington Dr, Frisco, TX. The contractor on record is Window Nation. Record ID is OAS:2601020318390925."
Permit B26-00006 – Residential Construction (RP25-0006),"14956 Little Bluestem Ln, Frisco, TX",,IPOMOEA BUILDCO,2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.516000+00:00,2026-05-19T02:19:13.516000+00:00,"Building permit B26-00006 is associated with parent project RP25-0006 for residential construction at 14956 Little Bluestem Ln, Frisco, TX. The contractor is Ipomoea Buildco. Record ID is OAS:2601020106018841."
Permit B26-00007 – Residential Construction (RP25-0006),"14978 Little Bluestem Ln, Frisco, TX",,IPOMOEA BUILDCO,2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.516000+00:00,2026-05-19T02:19:13.516000+00:00,"Building permit B26-00007 is associated with parent project RP25-0006 for residential construction at 14978 Little Bluestem Ln, Frisco, TX. The contractor is Ipomoea Buildco. Record ID is OAS:2601020113129043."
Permit B26-00004 – Custom Pool Installation,"13669 Magenta St, Frisco, TX",,ARTESIAN CUSTOM POOLS,2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.515000+00:00,2026-05-19T02:19:13.515000+00:00,"Building permit B26-00004 was issued for a custom pool installation at 13669 Magenta St, Frisco, TX. The contractor on record is Artesian Custom Pools. Record ID is OAS:2601021003256909."
Permit B26-00005 – New Home Construction (FP25-0013),"9769 Chalcedony Ln, Frisco, TX",,HIGHLAND HOMES,2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.515000+00:00,2026-05-19T02:19:13.515000+00:00,"Building permit B26-00005 is tied to parent project FP25-0013 for new home construction at 9769 Chalcedony Ln, Frisco, TX. The contractor is Highland Homes. Record ID is OAS:2601021231308590."
Permit B26-00003 – Commercial Development (SP23-0092),"3900 PGA Pkwy Suite H, Frisco, TX",,J2 COMMERCIAL DEVELOPMENT,2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.514000+00:00,2026-05-19T02:19:13.514000+00:00,"Building permit B26-00003 is associated with parent project SP23-0092 and covers commercial development at 3900 PGA Pkwy Suite H in Frisco, TX. The contractor is J2 Commercial Development. Record ID is OAS:2601020936176424."
Permit B26-00002 – Foundation/Concrete Work,"11562 Kingsville Dr, Frisco, TX",,FOUNDATION AND CONCRETE SERVICES,2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.513000+00:00,2026-05-19T02:19:13.513000+00:00,"Building permit B26-00002 was issued in Frisco, TX for foundation and concrete work at 11562 Kingsville Dr. The contractor on record is Foundation and Concrete Services. Record ID is OAS:2601020932186377."
Permit B26-00001 – Solar Installation,"9948 Sugarberry Dr, Frisco, TX",,IMMEDIATE SOLAR,2026-01-02,https://etrakit.friscotexas.gov/etrakit/Search/permit.aspx,etrakit.friscotexas.gov,2026-05-19T02:19:13.477000+00:00,2026-05-19T02:19:13.477000+00:00,"Building permit B26-00001 was issued in Frisco, TX for a solar installation at 9948 Sugarberry Dr. The contractor on record is Immediate Solar. Record ID is OAS:2601020920136266."
